Reporting Starts,Reporting Ends,Campaign Name,Ad Set Name,Ad Name,Amount Spent (USD),Impressions,Link Clicks,CPM,CTR,Purchases,Purchases Conversion Value
2025-01-31,2025-01-31,Artisan Watch - BOF - Retargeting,Website Visitors - Artisan Watch,DPA - Artisan Watch,6.89,540,18,12.76,3.45,1,65.99
2025-01-31,2025-01-31,Artisan Watch - TOF - Interests,Broad Interests - Artisan Watch,Creative A - Artisan Watch,16.07,831,7,19.34,0.92,1,44.0
2025-01-31,2025-01-31,Canvas Tote Bag - TOF - Interests,Broad Interests - Canvas Tote Bag,Creative A - Canvas Tote Bag,6.01,244,2,24.63,1.02,0,0.0
2025-01-31,2025-01-31,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,9.25,627,5,14.76,0.83,0,0.0
2025-01-31,2025-01-31,Plain Beanie - TOF - Interests,Broad Interests - Plain Beanie,Creative A - Plain Beanie,14.6,798,11,18.3,1.48,0,0.0
2025-01-31,2025-01-31,Running Shorts - TOF - Interests,Broad Interests - Running Shorts,Creative A - Running Shorts,8.71,413,4,21.09,0.98,0,0.0
2025-01-31,2025-01-31,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,28.28,1157,13,24.44,1.16,0,0.0
2025-01-31,2025-01-31,Sport Sneakers - TOF - Interests,Broad Interests - Sport Sneakers,Creative A - Sport Sneakers,12.46,639,9,19.5,1.44,0,0.0
2025-01-31,2025-01-31,Standard Lanyard - TOF - Interests,Broad Interests - Standard Lanyard,Creative A - Standard Lanyar,12.16,818,11,14.87,1.43,0,0.0
2025-02-01,2025-02-01,Artisan Watch - TOF - Interests,Broad Interests - Artisan Watch,Creative A - Artisan Watch,3.49,226,3,15.44,1.47,0,0.0
2025-02-01,2025-02-01,Basic Phone Case - TOF - Interests,Broad Interests - Basic Phone Case,Creative A - Basic Phone Cas,9.97,604,8,16.51,1.35,0,0.0
2025-02-01,2025-02-01,Canvas Tote Bag - TOF - Interests,Broad Interests - Canvas Tote Bag,Creative A - Canvas Tote Bag,9.56,567,7,16.86,1.26,0,0.0
2025-02-01,2025-02-01,Canvas Tote Bag - TOF - Interests,Broad Interests - Canvas Tote Bag,Creative A - Canvas Tote Bag,14.75,661,5,22.31,0.88,0,0.0
2025-02-01,2025-02-01,Classic T-Shirt - TOF - Interests,Broad Interests - Classic T-Shirt,Creative A - Classic T-Shirt,10.38,709,8,14.64,1.23,0,0.0
2025-02-01,2025-02-01,Handcrafted Wallet - TOF - Interests,Broad Interests - Handcrafted Wallet,Creative A - Handcrafted Wal,7.2,426,6,16.89,1.42,0,0.0
2025-02-01,2025-02-01,Simple Keychain - TOF - Interests,Broad Interests - Simple Keychain,Creative A - Simple Keychain,6.85,305,3,22.47,1.16,0,0.0
2025-02-01,2025-02-01,Standard Lanyard - TOF - Interests,Broad Interests - Standard Lanyard,Creative A - Standard Lanyar,12.86,634,7,20.28,1.21,0,0.0
2025-02-02,2025-02-02,Basic Socks 3-Pack - TOF - Interests,Broad Interests - Basic Socks 3-Pack,Creative A - Basic Socks 3-P,10.21,585,6,17.45,1.16,0,0.0
2025-02-02,2025-02-02,Designer Sunglasses - BOF - Retargeting,Website Visitors - Designer Sunglasses,DPA - Designer Sungla,13.23,1368,33,9.67,2.48,1,119.99
2025-02-02,2025-02-02,Designer Sunglasses - TOF - Interests,Broad Interests - Designer Sunglasses,Creative A - Designer Sungla,30.85,1429,21,21.59,1.5,1,79.99
2025-02-02,2025-02-02,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,14.58,633,7,23.03,1.15,0,0.0
2025-02-02,2025-02-02,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,17.81,774,8,23.01,1.04,0,0.0
2025-02-02,2025-02-02,Plain Beanie - TOF - Interests,Broad Interests - Plain Beanie,Creative A - Plain Beanie,14.66,1102,11,13.3,1.03,0,0.0
2025-02-02,2025-02-02,Running Shorts - TOF - Interests,Broad Interests - Running Shorts,Creative A - Running Shorts,7.53,311,3,24.2,1.25,0,0.0
2025-02-03,2025-02-03,Baseball Cap - TOF - Interests,Broad Interests - Baseball Cap,Creative A - Baseball Cap,7.31,465,5,15.71,1.27,0,0.0
2025-02-03,2025-02-03,Discontinued Boots - TOF - Interests,Broad Interests - Discontinued Boots,Creative A - Discontinued Bo,23.13,1830,20,12.64,1.13,0,0.0
2025-02-03,2025-02-03,Handcrafted Wallet - TOF - Interests,Broad Interests - Handcrafted Wallet,Creative A - Handcrafted Wal,8.36,462,5,18.1,1.18,0,0.0
2025-02-03,2025-02-03,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,10.68,732,10,14.59,1.45,0,0.0
2025-02-04,2025-02-04,Classic T-Shirt - TOF - Interests,Broad Interests - Classic T-Shirt,Creative A - Classic T-Shirt,13.19,846,8,15.59,1.01,0,0.0
2025-02-04,2025-02-04,Designer Sunglasses - BOF - Retargeting,Website Visitors - Designer Sunglasses,DPA - Designer Sungla,13.21,1317,45,10.03,3.49,1,119.99
2025-02-04,2025-02-04,Designer Sunglasses - TOF - Interests,Broad Interests - Designer Sunglasses,Creative A - Designer Sungla,30.81,2241,25,13.75,1.13,1,79.99
2025-02-04,2025-02-04,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,16.27,858,9,18.96,1.08,0,0.0
2025-02-04,2025-02-04,Polo Shirt - TOF - Interests,Broad Interests - Polo Shirt,Creative A - Polo Shirt,11.27,528,7,21.35,1.36,0,0.0
2025-02-04,2025-02-04,Sport Sneakers - TOF - Interests,Broad Interests - Sport Sneakers,Creative A - Sport Sneakers,12.04,819,11,14.7,1.38,0,0.0
2025-02-05,2025-02-05,Baseball Cap - TOF - Interests,Broad Interests - Baseball Cap,Creative A - Baseball Cap,6.6,433,4,15.25,1.03,0,0.0
2025-02-05,2025-02-05,Basic Phone Case - TOF - Interests,Broad Interests - Basic Phone Case,Creative A - Basic Phone Cas,13.76,772,8,17.83,1.12,0,0.0
2025-02-05,2025-02-05,Basic Socks 3-Pack - TOF - Interests,Broad Interests - Basic Socks 3-Pack,Creative A - Basic Socks 3-P,12.46,822,8,15.16,1.08,0,0.0
2025-02-05,2025-02-05,Cashmere Sweater - BOF - Retargeting,Website Visitors - Cashmere Sweater,DPA - Cashmere Sweate,8.81,1000,36,8.81,3.61,1,71.99
2025-02-05,2025-02-05,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,20.56,1277,17,16.1,1.35,1,48.0
2025-02-05,2025-02-05,Handcrafted Wallet - BOF - Retargeting,Website Visitors - Handcrafted Wallet,DPA - Handcrafted Wal,11.75,961,31,12.23,3.26,1,95.99
2025-02-05,2025-02-05,Handcrafted Wallet - TOF - Interests,Broad Interests - Handcrafted Wallet,Creative A - Handcrafted Wal,27.43,1406,12,19.51,0.91,1,63.99
2025-02-05,2025-02-05,Last Season Dress - BOF - Retargeting,Website Visitors - Last Season Dress,DPA - Last Season Dre,10.0,775,29,12.9,3.77,1,14.99
2025-02-05,2025-02-05,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,23.32,1275,18,18.29,1.46,1,10.0
2025-02-05,2025-02-05,Overstock Pants - TOF - Interests,Broad Interests - Overstock Pants,Creative A - Overstock Pants,27.03,2065,27,13.09,1.33,0,0.0
2025-02-05,2025-02-05,Simple Keychain - TOF - Interests,Broad Interests - Simple Keychain,Creative A - Simple Keychain,5.43,286,2,19.0,0.86,0,0.0
2025-02-06,2025-02-06,Basic Phone Case - TOF - Interests,Broad Interests - Basic Phone Case,Creative A - Basic Phone Cas,9.83,566,4,17.36,0.8,0,0.0
2025-02-06,2025-02-06,Canvas Tote Bag - TOF - Interests,Broad Interests - Canvas Tote Bag,Creative A - Canvas Tote Bag,8.28,337,3,24.56,0.89,0,0.0
2025-02-06,2025-02-06,Casual Jeans - BOF - Retargeting,Website Visitors - Casual Jeans,DPA - Casual Jeans,6.33,606,17,10.45,2.93,1,35.99
